ENLIGHTEN Version,3.2.30
Measurement ID,,,20230419-151708-452683-WP-00643
Serial Number,,,WP-00643
Model,,,WP-785-R-SR-LMMF
Detector,,,S11511
Label,,,15:17:08 WP-00643
169,825.31,625.19,46594.69
170,825.45,627.23,46595.60
171,825.59,629.27,46709.59
172,825.73,631.30,46672.77
173,825.87,633.33,46821.17
174,826.00,635.37,46774.87
175,826.14,637.40,46807.94
176,826.28,639.43,46920.96
177,826.42,641.46,46885.78
178,826.56,643.49,46938.46
179,826.70,645.51,46910.25
180,826.84,647.54,46999.80
181,826.97,649.57,46950.92
182,827.11,651.59,47010.34
183,827.25,653.61,46978.57
184,827.39,655.64,46986.23
185,827.53,657.66,47021.00
186,827.67,659.68,47018.40
187,827.80,661.70,47130.16
188,827.94,663.72,47109.34
189,828.08,665.73,47158.21
190,828.22,667.75,47151.35
191,828.36,669.77,47158.38
192,828.50,671.78,47114.79
193,828.63,673.80,47141.24
194,828.77,675.81,47184.29
195,828.91,677.82,47146.09
196,829.05,679.83,47151.86
197,829.19,681.84,47223.90
198,829.33,683.85,47218.74
199,829.46,685.86,47242.24
200,829.60,687.87,47252.36
201,829.74,689.87,47248.57
202,829.88,691.88,47334.62
203,830.02,693.88,47305.54
204,830.15,695.88,47326.50
205,830.29,697.89,47291.76
206,830.43,699.89,47323.10
207,830.57,701.89,47336.70
208,830.71,703.89,47368.87
209,830.84,705.88,47323.92
210,830.98,707.88,47456.34
211,831.12,709.88,47477.73
212,831.26,711.87,47489.22
213,831.40,713.87,47538.39
214,831.53,715.86,47646.75
215,831.67,717.85,47590.12
216,831.81,719.84,47567.79
217,831.95,721.83,47700.93
218,832.08,723.82,47721.85
219,832.22,725.81,47647.23
220,832.36,727.80,47682.71
221,832.50,729.79,47813.22
222,832.63,731.77,47898.51
223,832.77,733.76,47897.21
224,832.91,735.74,47933.39
225,833.05,737.72,47906.23
226,833.18,739.70,47956.02
227,833.32,741.68,47950.49
228,833.46,743.66,47915.58
229,833.60,745.64,47857.01
230,833.73,747.62,47867.78
231,833.87,749.60,47931.96
232,834.01,751.57,47780.07
233,834.15,753.55,47801.99
234,834.28,755.52,47863.65
235,834.42,757.49,47829.12
236,834.56,759.46,47794.40
237,834.70,761.43,47775.36
238,834.83,763.40,47771.17
239,834.97,765.37,47734.25
240,835.11,767.34,47668.26
241,835.25,769.31,47703.66
242,835.38,771.27,47676.09
243,835.52,773.24,47622.41
244,835.66,775.20,47583.46
245,835.79,777.16,47651.81
246,835.93,779.13,47631.41
247,836.07,781.09,47537.42
248,836.20,783.05,47616.23
249,836.34,785.01,47533.72
250,836.48,786.96,47525.91
251,836.62,788.92,47466.13
252,836.75,790.88,47401.22
253,836.89,792.83,47386.97
254,837.03,794.78,47371.51
255,837.16,796.74,47344.39
256,837.30,798.69,47368.55
257,837.44,800.64,47288.06
258,837.57,802.59,47338.45
259,837.71,804.54,47307.31
260,837.85,806.49,47236.37
261,837.98,808.44,47263.16
262,838.12,810.38,47244.50
263,838.26,812.33,47199.88
264,838.39,814.27,47209.20
265,838.53,816.21,47204.51
266,838.67,818.16,47168.44
267,838.80,820.10,47223.24
268,838.94,822.04,47219.52
269,839.08,823.98,47253.83
270,839.21,825.91,47338.93
271,839.35,827.85,47335.42
272,839.49,829.79,47379.36
273,839.62,831.72,47477.30
274,839.76,833.66,47432.96
275,839.90,835.59,47508.59
276,840.03,837.52,47605.73
277,840.17,839.45,47522.88
278,840.30,841.38,47652.76
279,840.44,843.31,47624.84
280,840.58,845.24,47637.04
281,840.71,847.17,47754.56
282,840.85,849.10,47662.29
283,840.98,851.02,47715.47
284,841.12,852.95,47738.01
285,841.26,854.87,47636.21
286,841.39,856.79,47630.41
287,841.53,858.71,47576.13
288,841.67,860.63,47476.37
289,841.80,862.55,47470.47
290,841.94,864.47,47435.80
291,842.07,866.39,47389.92
292,842.21,868.31,47332.81
293,842.35,870.22,47336.32
294,842.48,872.14,47304.76
295,842.62,874.05,47254.07
296,842.75,875.96,47187.09
297,842.89,877.87,47148.98
298,843.02,879.78,47072.70
299,843.16,881.69,47027.72
300,843.30,883.60,46859.07
301,843.43,885.51,46915.55
302,843.57,887.42,46900.11
303,843.70,889.32,46871.16
304,843.84,891.23,46802.67
305,843.97,893.13,46894.01
306,844.11,895.03,46786.79
307,844.24,896.93,46766.86
308,844.38,898.84,46764.92
309,844.52,900.74,46661.31
310,844.65,902.63,46649.81
311,844.79,904.53,46598.87
312,844.92,906.43,46558.09
313,845.06,908.32,46577.54
314,845.19,910.22,46561.26
315,845.33,912.11,46554.15
316,845.46,914.01,46623.74
317,845.60,915.90,46589.24
318,845.73,917.79,46592.40
319,845.87,919.68,46633.18
320,846.00,921.57,46604.12
321,846.14,923.46,46648.10
322,846.27,925.34,46657.24
323,846.41,927.23,46631.91
324,846.54,929.11,46580.45
325,846.68,931.00,46655.76
326,846.81,932.88,46680.19
327,846.95,934.76,46561.80
328,847.08,936.64,46693.00
329,847.22,938.52,46699.33
330,847.35,940.40,46687.55
331,847.49,942.28,46640.56
332,847.62,944.16,46647.46
333,847.76,946.03,46551.08
334,847.89,947.91,46448.88
335,848.03,949.78,46351.78
336,848.16,951.65,46331.58
337,848.30,953.53,46306.06
338,848.43,955.40,46311.39
339,848.57,957.27,46091.54
340,848.70,959.14,46219.57
341,848.84,961.01,46122.51
342,848.97,962.87,46106.60
343,849.11,964.74,46100.00
344,849.24,966.60,46054.89
345,849.37,968.47,46038.58
346,849.51,970.33,46009.72
347,849.64,972.19,45936.33
348,849.78,974.05,45919.99
349,849.91,975.91,45841.19
350,850.05,977.77,45874.73
351,850.18,979.63,45809.33
352,850.31,981.49,45834.88
353,850.45,983.35,45872.27
