ENLIGHTEN Version,3.2.30
Measurement ID,,,20230419-151318-179828-WP-00643
Serial Number,,,WP-00643
Model,,,WP-785-R-SR-LMMF
Detector,,,S11511
Label,,,15:13:18 WP-00643
169,825.31,625.19,10608.84
170,825.45,627.23,10622.81
171,825.59,629.27,10656.12
172,825.73,631.30,10656.77
173,825.87,633.33,10701.98
174,826.00,635.37,10707.50
175,826.14,637.40,10723.36
176,826.28,639.43,10756.75
177,826.42,641.46,10773.21
178,826.56,643.49,10793.57
179,826.70,645.51,10801.69
180,826.84,647.54,10816.79
181,826.97,649.57,10826.59
182,827.11,651.59,10855.66
183,827.25,653.61,10847.07
184,827.39,655.64,10869.54
185,827.53,657.66,10911.25
186,827.67,659.68,10906.51
187,827.80,661.70,10951.76
188,827.94,663.72,10949.54
189,828.08,665.73,10974.15
190,828.22,667.75,10988.43
191,828.36,669.77,11003.29
192,828.50,671.78,11011.22
193,828.63,673.80,11024.15
194,828.77,675.81,11054.47
195,828.91,677.82,11062.29
196,829.05,679.83,11081.88
197,829.19,681.84,11113.29
198,829.33,683.85,11122.54
199,829.46,685.86,11141.26
200,829.60,687.87,11171.22
201,829.74,689.87,11188.41
202,829.88,691.88,11201.97
203,830.02,693.88,11216.49
204,830.15,695.88,11234.87
205,830.29,697.89,11241.71
206,830.43,699.89,11258.43
207,830.57,701.89,11276.28
208,830.71,703.89,11297.75
209,830.84,705.88,11288.14
210,830.98,707.88,11330.14
211,831.12,709.88,11336.49
212,831.26,711.87,11352.22
213,831.40,713.87,11375.23
214,831.53,715.86,11412.23
215,831.67,717.85,11406.30
216,831.81,719.84,11417.66
217,831.95,721.83,11455.34
218,832.08,723.82,11485.50
219,832.22,725.81,11478.78
220,832.36,727.80,11498.39
221,832.50,729.79,11549.29
222,832.63,731.77,11566.68
223,832.77,733.76,11576.52
224,832.91,735.74,11596.08
225,833.05,737.72,11602.95
226,833.18,739.70,11614.01
227,833.32,741.68,11640.00
228,833.46,743.66,11636.04
229,833.60,745.64,11641.56
230,833.73,747.62,11647.76
231,833.87,749.60,11682.74
232,834.01,751.57,11672.25
233,834.15,753.55,11689.21
234,834.28,755.52,11727.80
235,834.42,757.49,11722.44
236,834.56,759.46,11725.30
237,834.70,761.43,11742.12
238,834.83,763.40,11729.77
239,834.97,765.37,11755.51
240,835.11,767.34,11746.28
241,835.25,769.31,11769.30
242,835.38,771.27,11768.26
243,835.52,773.24,11775.96
244,835.66,775.20,11785.13
245,835.79,777.16,11822.58
246,835.93,779.13,11829.79
247,836.07,781.09,11819.13
248,836.20,783.05,11845.21
249,836.34,785.01,11856.33
250,836.48,786.96,11861.63
251,836.62,788.92,11863.50
252,836.75,790.88,11870.76
253,836.89,792.83,11885.60
254,837.03,794.78,11882.79
255,837.16,796.74,11888.67
256,837.30,798.69,11910.27
257,837.44,800.64,11911.83
258,837.57,802.59,11934.96
259,837.71,804.54,11945.31
260,837.85,806.49,11938.00
261,837.98,808.44,11960.05
262,838.12,810.38,11959.86
263,838.26,812.33,11975.79
264,838.39,814.27,11994.38
265,838.53,816.21,11987.31
266,838.67,818.16,12005.99
267,838.80,820.10,12026.36
268,838.94,822.04,12033.44
269,839.08,823.98,12057.50
270,839.21,825.91,12088.74
271,839.35,827.85,12100.42
272,839.49,829.79,12115.68
273,839.62,831.72,12161.53
274,839.76,833.66,12144.83
275,839.90,835.59,12174.51
276,840.03,837.52,12190.25
277,840.17,839.45,12193.03
278,840.30,841.38,12230.71
279,840.44,843.31,12230.14
280,840.58,845.24,12248.41
281,840.71,847.17,12290.33
282,840.85,849.10,12278.20
283,840.98,851.02,12311.06
284,841.12,852.95,12349.03
285,841.26,854.87,12337.29
