Benzophenone,Alanine,Oatmeal agar,Oatmeal agar (raw),Wavenumber,Wavelength
966.47,1932.945696,43270.24964,43216.68,454.8655473,813.87
958.48,1949.87912,43327.61016,43272.86,456.9787602,814.01
951.94,1946.315187,43384.46475,43319.33,459.0912464,814.15
946.31,1973.553904,43440.83906,43335.44,461.2030061,814.29
942.62,1985.995278,43496.75841,43382.86,463.3140399,814.43
941.34,2015.739314,43552.24759,43387.62,465.4243479,814.57
937.6,2038.38602,43607.33082,43419.94,467.5339307,814.71
935.43,2076.235401,43662.03152,43405.24,469.6427887,814.85
933.54,2104.087465,43716.37214,43407.25,471.750922,814.99
931.02,2148.042218,43770.37386,43440.69,473.8583313,815.13
930.37,2190.699665,43824.05633,43444.76,475.9650167,815.27
928.86,2244.859815,43877.43752,43464.64,478.0709788,815.41
929.15,2303.522673,43930.53353,43436.27,480.1762178,815.55
927.25,2371.988245,43983.35838,43500.1,482.2807341,815.69
926.07,2443.256538,44035.92363,43536.81,484.3845282,815.83
926.03,2496.627559,44088.23841,43596.09,486.4876004,815.97
925.74,2560.901313,44140.30938,43605.41,488.589951,816.11
925.97,2555.977807,44192.14071,43711.72,490.6915804,816.25
925.67,2533.857049,44243.73391,43820.43,492.792489,816.39
926.61,2482.539042,44295.08808,43858.14,494.8926772,816.53
925.61,2370.423796,44346.20022,44005.28,496.9921454,816.67
928.15,2254.511314,44397.06513,44072.85,499.0908938,816.81
927.87,2147.701605,44447.67591,44203.31,501.1889229,816.95
930.35,2054.694673,44498.02404,44290.49,503.2862331,817.09
928.41,1963.490527,44548.09977,44395.99,505.3828247,817.23
928.01,1898.38917,44597.89233,44467.71,507.4786981,817.37
929.79,1862.390611,44647.39018,44554.54,509.5738536,817.51
928.68,1831.494855,44696.58111,44647.96,511.6682917,817.65
929.37,1840.101909,44745.45248,44709.61,513.7620126,817.79
932,1852.311779,44793.99138,44822.19,515.8550168,817.93
932.71,1903.72447,44842.18475,44937.34,517.9473047,818.07
937.58,1964.73999,44890.01963,44963.18,520.0388765,818.21
946.06,2087.258344,44937.48357,45104.73,522.1297327,818.35
953.22,2216.079539,44984.56447,45107.06,524.2198737,818.49
964.05,2395.103581,45031.25107,45163.25,526.3092997,818.63
973.92,2664.230476,45077.53272,45142.06,528.3980112,818.77
