ENLIGHTEN Version,3.2.30
Measurement ID,,,20230419-151847-272046-WP-00643
Serial Number,,,WP-00643
Model,,,WP-785-R-SR-LMMF
Detector,,,S11511
Label,,,15:18:47 WP-00643
180,826.84,647.54,831.87
181,826.97,649.57,832.85
182,827.11,651.59,831.95
183,827.25,653.61,831.25
184,827.39,655.64,831.19
185,827.53,657.66,832.60
186,827.67,659.68,831.81
187,827.80,661.70,830.29
188,827.94,663.72,832.38
189,828.08,665.73,833.54
190,828.22,667.75,832.57
191,828.36,669.77,832.34
192,828.50,671.78,831.34
193,828.63,673.80,832.89
194,828.77,675.81,831.56
195,828.91,677.82,833.11
196,829.05,679.83,834.14
197,829.19,681.84,834.71
198,829.33,683.85,835.15
199,829.46,685.86,837.32
200,829.60,687.87,836.99
201,829.74,689.87,840.27
202,829.88,691.88,842.76
203,830.02,693.88,847.19
204,830.15,695.88,853.27
205,830.29,697.89,862.77
206,830.43,699.89,877.97
207,830.57,701.89,913.38
208,830.71,703.89,982.35
209,830.84,705.88,1128.27
210,830.98,707.88,1365.31
211,831.12,709.88,1550.49
212,831.26,711.87,1603.89
213,831.40,713.87,1560.92
214,831.53,715.86,1416.05
215,831.67,717.85,1173.37
216,831.81,719.84,986.74
217,831.95,721.83,904.38
218,832.08,723.82,873.44
219,832.22,725.81,860.78
220,832.36,727.80,853.64
221,832.50,729.79,848.78
222,832.63,731.77,844.06
223,832.77,733.76,841.63
224,832.91,735.74,840.76
225,833.05,737.72,839.79
226,833.18,739.70,836.73
227,833.32,741.68,842.37
228,833.46,743.66,834.60
229,833.60,745.64,835.34
230,833.73,747.62,834.04
231,833.87,749.60,834.43
232,834.01,751.57,834.35
233,834.15,753.55,835.03
234,834.28,755.52,833.66
235,834.42,757.49,833.74
236,834.56,759.46,834.25
237,834.70,761.43,831.88
238,834.83,763.40,833.12
239,834.97,765.37,834.05
240,835.11,767.34,833.51
241,835.25,769.31,841.98
242,835.38,771.27,835.55
243,835.52,773.24,835.50
244,835.66,775.20,834.91
245,835.79,777.16,835.99
246,835.93,779.13,836.68
247,836.07,781.09,835.77
248,836.20,783.05,836.83
249,836.34,785.01,837.00
250,836.48,786.96,835.88
251,836.62,788.92,836.06
252,836.75,790.88,835.22
253,836.89,792.83,837.78
254,837.03,794.78,836.32
255,837.16,796.74,834.79
256,837.30,798.69,834.99
257,837.44,800.64,834.05
258,837.57,802.59,835.10
259,837.71,804.54,833.79
260,837.85,806.49,835.37
261,837.98,808.44,834.12
262,838.12,810.38,834.41
263,838.26,812.33,836.26
264,838.39,814.27,833.52
265,838.53,816.21,833.49
266,838.67,818.16,832.05
267,838.80,820.10,834.49
268,838.94,822.04,833.35
269,839.08,823.98,832.84
270,839.21,825.91,833.48
271,839.35,827.85,832.69
272,839.49,829.79,832.35
273,839.62,831.72,833.40
274,839.76,833.66,834.70
275,839.90,835.59,831.73
276,840.03,837.52,832.98
277,840.17,839.45,831.60
278,840.30,841.38,831.54
279,840.44,843.31,833.14
280,840.58,845.24,832.06
281,840.71,847.17,832.51
282,840.85,849.10,831.68
283,840.98,851.02,831.75
284,841.12,852.95,831.58
285,841.26,854.87,831.09
286,841.39,856.79,830.32
287,841.53,858.71,831.38
288,841.67,860.63,830.28
289,841.80,862.55,830.54
290,841.94,864.47,829.84
291,842.07,866.39,829.80
292,842.21,868.31,829.71
293,842.35,870.22,830.79
294,842.48,872.14,829.84
295,842.62,874.05,828.76
296,842.75,875.96,829.01
297,842.89,877.87,830.10
298,843.02,879.78,829.61
299,843.16,881.69,831.33
300,843.30,883.60,828.76
301,843.43,885.51,829.31
302,843.57,887.42,827.95
303,843.70,889.32,829.36
304,843.84,891.23,830.16
305,843.97,893.13,829.31
306,844.11,895.03,829.47
307,844.24,896.93,830.75
308,844.38,898.84,830.14
309,844.52,900.74,832.40
310,844.65,902.63,828.79
311,844.79,904.53,829.41
312,844.92,906.43,829.48
313,845.06,908.32,829.08
314,845.19,910.22,830.28
315,845.33,912.11,829.40
316,845.46,914.01,830.14
317,845.60,915.90,829.67
318,845.73,917.79,830.76
319,845.87,919.68,828.64
320,846.00,921.57,833.67
321,846.14,923.46,830.34
322,846.27,925.34,829.63
323,846.41,927.23,830.08
324,846.54,929.11,830.78
325,846.68,931.00,828.69
326,846.81,932.88,831.03
327,846.95,934.76,830.65
328,847.08,936.64,830.29
329,847.22,938.52,829.73
330,847.35,940.40,829.87
331,847.49,942.28,830.74
