ENLIGHTEN Version,3.2.30
Measurement ID,,,20230419-151809-671888-WP-00643
Serial Number,,,WP-00643
Model,,,WP-785-R-SR-LMMF
Detector,,,S11511
Label,,,15:18:09 WP-00643
173,825.87,633.33,1246.56
174,826.00,635.37,1417.80
175,826.14,637.40,1495.27
176,826.28,639.43,1483.17
177,826.42,641.46,1398.88
178,826.56,643.49,1225.65
179,826.70,645.51,1042.36
180,826.84,647.54,963.42
181,826.97,649.57,945.08
182,827.11,651.59,939.86
183,827.25,653.61,941.60
184,827.39,655.64,942.16
185,827.53,657.66,944.89
186,827.67,659.68,942.80
187,827.80,661.70,941.43
188,827.94,663.72,939.82
189,828.08,665.73,936.49
190,828.22,667.75,936.12
191,828.36,669.77,935.53
192,828.50,671.78,940.09
193,828.63,673.80,950.60
194,828.77,675.81,968.70
195,828.91,677.82,1005.50
196,829.05,679.83,1063.33
197,829.19,681.84,1127.93
198,829.33,683.85,1165.52
199,829.46,685.86,1173.86
200,829.60,687.87,1158.20
201,829.74,689.87,1129.98
202,829.88,691.88,1112.65
203,830.02,693.88,1111.14
204,830.15,695.88,1123.98
205,830.29,697.89,1152.22
206,830.43,699.89,1204.54
207,830.57,701.89,1262.63
208,830.71,703.89,1301.65
209,830.84,705.88,1331.03
210,830.98,707.88,1373.27
211,831.12,709.88,1464.98
212,831.26,711.87,1745.31
213,831.40,713.87,2528.95
214,831.53,715.86,4324.70
215,831.67,717.85,6867.79
216,831.81,719.84,8399.15
217,831.95,721.83,8716.67
218,832.08,723.82,8066.77
219,832.22,725.81,6186.81
220,832.36,727.80,3664.83
221,832.50,729.79,2101.80
222,832.63,731.77,1487.06
223,832.77,733.76,1242.02
224,832.91,735.74,1139.56
225,833.05,737.72,1092.85
226,833.18,739.70,1066.71
227,833.32,741.68,1059.08
228,833.46,743.66,1042.91
229,833.60,745.64,1040.23
230,833.73,747.62,1042.79
231,833.87,749.60,1051.48
232,834.01,751.57,1070.02
233,834.15,753.55,1115.07
234,834.28,755.52,1211.46
235,834.42,757.49,1424.20
236,834.56,759.46,1904.94
237,834.70,761.43,2683.76
238,834.83,763.40,3250.29
239,834.97,765.37,3378.00
240,835.11,767.34,3220.22
241,835.25,769.31,2720.39
242,835.38,771.27,1911.66
243,835.52,773.24,1331.10
244,835.66,775.20,1102.05
245,835.79,777.16,1019.93
246,835.93,779.13,984.74
247,836.07,781.09,968.12
248,836.20,783.05,961.89
249,836.34,785.01,957.74
250,836.48,786.96,956.06
251,836.62,788.92,954.63
252,836.75,790.88,954.09
253,836.89,792.83,955.11
254,837.03,794.78,954.64
255,837.16,796.74,957.54
256,837.30,798.69,968.15
257,837.44,800.64,987.04
258,837.57,802.59,1022.32
259,837.71,804.54,1087.34
260,837.85,806.49,1194.43
261,837.98,808.44,1294.67
262,838.12,810.38,1338.15
263,838.26,812.33,1329.09
264,838.39,814.27,1269.32
265,838.53,816.21,1161.71
266,838.67,818.16,1058.66
267,838.80,820.10,1003.36
268,838.94,822.04,978.22
269,839.08,823.98,970.97
270,839.21,825.91,970.92
271,839.35,827.85,977.90
272,839.49,829.79,987.52
273,839.62,831.72,1006.44
274,839.76,833.66,1031.73
275,839.90,835.59,1064.25
276,840.03,837.52,1108.76
277,840.17,839.45,1166.80
278,840.30,841.38,1261.15
279,840.44,843.31,1438.02
280,840.58,845.24,1700.03
281,840.71,847.17,1909.07
282,840.85,849.10,2008.62
283,840.98,851.02,2084.94
284,841.12,852.95,2147.35
285,841.26,854.87,2165.94
286,841.39,856.79,2151.85
287,841.53,858.71,2108.41
288,841.67,860.63,2007.24
289,841.80,862.55,1801.04
290,841.94,864.47,1538.09
291,842.07,866.39,1348.85
292,842.21,868.31,1245.68
293,842.35,870.22,1176.39
294,842.48,872.14,1119.24
295,842.62,874.05,1078.41
296,842.75,875.96,1054.62
297,842.89,877.87,1036.61
298,843.02,879.78,1020.63
299,843.16,881.69,1009.55
300,843.30,883.60,993.17
301,843.43,885.51,981.07
302,843.57,887.42,973.08
303,843.70,889.32,967.64
304,843.84,891.23,967.33
305,843.97,893.13,970.22
306,844.11,895.03,976.21
307,844.24,896.93,982.31
308,844.38,898.84,989.66
309,844.52,900.74,995.07
310,844.65,902.63,996.01
311,844.79,904.53,997.90
312,844.92,906.43,1004.58
313,845.06,908.32,1011.21
314,845.19,910.22,1030.92
315,845.33,912.11,1064.07
316,845.46,914.01,1125.70
317,845.60,915.90,1191.55
318,845.73,917.79,1235.09
319,845.87,919.68,1246.51
320,846.00,921.57,1229.13
321,846.14,923.46,1174.51
322,846.27,925.34,1120.67
323,846.41,927.23,1101.38
324,846.54,929.11,1133.76
325,846.68,931.00,1228.12
326,846.81,932.88,1352.96
327,846.95,934.76,1440.97
328,847.08,936.64,1509.34
329,847.22,938.52,1590.19
330,847.35,940.40,1661.49
331,847.49,942.28,1685.56
332,847.62,944.16,1713.89
333,847.76,946.03,1681.85
334,847.89,947.91,1565.45
335,848.03,949.78,1394.85
336,848.16,951.65,1246.67
337,848.30,953.53,1135.62
338,848.43,955.40,1086.52
339,848.57,957.27,1082.18
340,848.70,959.14,1093.12
341,848.84,961.01,1101.80
342,848.97,962.87,1110.31
343,849.11,964.74,1123.35
344,849.24,966.60,1145.22
345,849.37,968.47,1180.46
346,849.51,970.33,1214.41
347,849.64,972.19,1249.93
348,849.78,974.05,1311.87
349,849.91,975.91,1422.49
350,850.05,977.77,1717.64
351,850.18,979.63,2385.62
352,850.31,981.49,3345.38
353,850.45,983.35,4147.35
354,850.58,985.20,4743.78
355,850.72,987.06,5376.14
356,850.85,988.91,6430.70
357,850.99,990.76,9005.97
358,851.12,992.61,14819.36
359,851.25,994.46,21247.28
360,851.39,996.31,26555.13
361,851.52,998.16,30781.35
362,851.66,1000.01,31553.03
363,851.79,1001.85,27388.27
364,851.92,1003.70,21502.91
365,852.06,1005.54,15782.47
366,852.19,1007.39,10059.60
367,852.33,1009.23,5892.69
