BEFORE ALS,,,,
F (Conventional),(PLSR) R^2,(PLSR) MSE,(PLSR) MAE,(PLSR) RMSEP
0,0.999712,2.37E-05,0.00398116,0.00487174
1,0.998958,8.59E-05,0.00735955,0.00926952
10,0.997346,0.000218846,0.0115753,0.0147935
100,0.984898,0.00124529,0.0276838,0.0352887
1000,0.880654,0.00984091,0.0797969,0.0992014
2000,0.753826,0.0202988,0.117092,0.142474
3000,0.704345,0.0243789,0.125821,0.156137
4000,0.550456,0.0370681,0.159607,0.192531
,,,,
F (SERDS),(PLSR) R^2,(PLSR) MSE,(PLSR) MAE,(PLSR) RMSEP
0,0.999719,2.32E-05,0.00387064,0.00481615
1,0.999135,7.13E-05,0.00688095,0.00844437
10,0.996811,0.000262917,0.0128135,0.0162147
100,0.978117,0.00180441,0.0341413,0.0424784
1000,0.758847,0.0198848,0.115,0.141013
2000,0.57974,0.0346535,0.148452,0.186154
3000,0.481871,0.0427234,0.169106,0.206696
4000,0.405893,0.0489883,0.182302,0.221333
,,,,
AFTER ALS,,,,
F (Conventional),(PLSR) R^2,(PLSR) MSE,(PLSR) MAE,(PLSR) RMSEP
0,0.999456,4.49E-05,0.00540607,0.00669788
1,0.998761,0.00010219,0.00807163,0.0101087
10,0.997064,0.00024211,0.0126094,0.01556
100,0.98241,0.00145038,0.0304987,0.0380839
1000,0.853539,0.0120767,0.0889167,0.109894
2000,0.662536,0.0278263,0.136695,0.166812
3000,0.605612,0.0325201,0.149686,0.180333
4000,0.431755,0.0468558,0.177466,0.216462
,,,,
F (SERDS),(PLSR) R^2,(PLSR) MSE,(PLSR) MAE,(PLSR) RMSEP
0,0.999748,2.08E-05,0.00372968,0.00455609
1,0.999334,5.49E-05,0.00577957,0.00741215
10,0.997793,0.000181994,0.010569,0.0134905
100,0.986277,0.00113155,0.0272661,0.0336386
1000,0.883134,0.00963643,0.0809026,0.0981653
2000,0.736221,0.0217505,0.119127,0.14748
3000,0.655145,0.0284358,0.13731,0.168629
4000,0.575591,0.0349956,0.14859,0.187071
