ENLIGHTEN Version,2.2.7
Measurement ID,,,20220729-115930-568242-WP-00643,,,20220729-115932-057268-WP-00643,,,20220729-115932-881261-WP-00643,,,20220729-115933-648184-WP-00643,,,20220729-115934-368206-WP-00643,,,20220729-115935-072221-WP-00643,,,20220729-115935-729245-WP-00643,,,20220729-115936-291132-WP-00643,,,20220729-115936-929159-WP-00643,,,20220729-115938-005895-WP-00643,,
Serial Number,,,WP-00643,,,WP-00643,,,WP-00643,,,WP-00643,,,WP-00643,,,WP-00643,,,WP-00643,,,WP-00643,,,WP-00643,,,WP-00643,,
Model,,,WP-785-R-SR-LMMF,,,WP-785-R-SR-LMMF,,,WP-785-R-SR-LMMF,,,WP-785-R-SR-LMMF,,,WP-785-R-SR-LMMF,,,WP-785-R-SR-LMMF,,,WP-785-R-SR-LMMF,,,WP-785-R-SR-LMMF,,,WP-785-R-SR-LMMF,,,WP-785-R-SR-LMMF,,
1,801.76,269.33,3760.00,3760.00,0.00,1678.00,1678.00,0.00,2891.00,2891.00,0.00,2352.00,2352.00,0.00,1877.00,1877.00,0.00,2633.00,2633.00,0.00,2331.00,2331.00,0.00,4104.00,4104.00,0.00,3016.00,3016.00,0.00,2080.00,2080.00,0.00
2,801.90,271.53,3829.00,3829.00,0.00,1697.00,1697.00,0.00,2978.00,2978.00,0.00,2401.00,2401.00,0.00,1919.00,1919.00,0.00,2665.00,2665.00,0.00,2399.00,2399.00,0.00,4195.00,4195.00,0.00,3043.00,3043.00,0.00,2071.00,2071.00,0.00
3,802.05,273.73,3823.00,3823.00,0.00,1710.00,1710.00,0.00,3024.00,3024.00,0.00,2450.00,2450.00,0.00,1959.00,1959.00,0.00,2669.00,2669.00,0.00,2397.00,2397.00,0.00,4309.00,4309.00,0.00,3071.00,3071.00,0.00,2160.00,2160.00,0.00
4,802.19,275.92,3941.00,3941.00,0.00,1710.00,1710.00,0.00,3048.00,3048.00,0.00,2469.00,2469.00,0.00,1949.00,1949.00,0.00,2716.00,2716.00,0.00,2416.00,2416.00,0.00,4299.00,4299.00,0.00,3100.00,3100.00,0.00,2147.00,2147.00,0.00
5,802.33,278.12,3992.00,3992.00,0.00,1737.00,1737.00,0.00,3058.00,3058.00,0.00,2511.00,2511.00,0.00,1938.00,1938.00,0.00,2771.00,2771.00,0.00,2454.00,2454.00,0.00,4349.00,4349.00,0.00,3162.00,3162.00,0.00,2135.00,2135.00,0.00
6,802.47,280.31,4017.00,4017.00,0.00,1738.00,1738.00,0.00,3113.00,3113.00,0.00,2566.00,2566.00,0.00,1961.00,1961.00,0.00,2760.00,2760.00,0.00,2475.00,2475.00,0.00,4402.00,4402.00,0.00,3159.00,3159.00,0.00,2164.00,2164.00,0.00
7,802.61,282.51,4058.00,4058.00,0.00,1778.00,1778.00,0.00,3115.00,3115.00,0.00,2553.00,2553.00,0.00,1999.00,1999.00,0.00,2760.00,2760.00,0.00,2473.00,2473.00,0.00,4474.00,4474.00,0.00,3267.00,3267.00,0.00,2204.00,2204.00,0.00
8,802.75,284.70,4083.00,4083.00,0.00,1773.00,1773.00,0.00,3204.00,3204.00,0.00,2572.00,2572.00,0.00,1981.00,1981.00,0.00,2811.00,2811.00,0.00,2524.00,2524.00,0.00,4503.00,4503.00,0.00,3272.00,3272.00,0.00,2205.00,2205.00,0.00
9,802.89,286.89,4115.00,4115.00,0.00,1775.00,1775.00,0.00,3246.00,3246.00,0.00,2602.00,2602.00,0.00,2054.00,2054.00,0.00,2836.00,2836.00,0.00,2553.00,2553.00,0.00,4575.00,4575.00,0.00,3257.00,3257.00,0.00,2236.00,2236.00,0.00
10,803.03,289.08,4167.00,4167.00,0.00,1797.00,1797.00,0.00,3261.00,3261.00,0.00,2640.00,2640.00,0.00,2040.00,2040.00,0.00,2948.00,2948.00,0.00,2560.00,2560.00,0.00,4615.00,4615.00,0.00,3310.00,3310.00,0.00,2274.00,2274.00,0.00
